[ERROR] _system/glossary.md: owner が雛形の指示文のままである(『<記入>』)。値を書く。 (PLACEHOLDER_VALUE)
[ERROR] lens/decisions/CHANGE-004-consequence-over-map.md: status『accepted』は型 CHANGE では許可されない(許可: archived, current, deprecated, open, proposed, superseded)。 (BAD_STATUS)
[ERROR] lens/decisions/CHANGE-004-consequence-over-map.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
[ERROR] lens/decisions/CHANGE-004-consequence-over-map.md: 禁止同義語『領域』→ 承認語『ドメイン』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-004-consequence-over-map.md: 禁止同義語『指摘』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-005-honest-numbers-and-status.md: status『accepted』は型 CHANGE では許可されない(許可: archived, current, deprecated, open, proposed, superseded)。 (BAD_STATUS)
[ERROR] lens/decisions/CHANGE-005-honest-numbers-and-status.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
[ERROR] lens/decisions/CHANGE-005-honest-numbers-and-status.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-005-honest-numbers-and-status.md: 禁止同義語『退役』→ 承認語『アーカイブ』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-005-honest-numbers-and-status.md: 禁止同義語『漏れ』→ 承認語『逆孤児』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-005-honest-numbers-and-status.md: 禁止同義語『指摘』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-006-say-which-way-we-walked.md: status『accepted』は型 CHANGE では許可されない(許可: archived, current, deprecated, open, proposed, superseded)。 (BAD_STATUS)
[ERROR] lens/decisions/CHANGE-006-say-which-way-we-walked.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
[ERROR] lens/decisions/CHANGE-007-bind-words-to-the-canon.md: status『accepted』は型 CHANGE では許可されない(許可: archived, current, deprecated, open, proposed, superseded)。 (BAD_STATUS)
[ERROR] lens/decisions/CHANGE-007-bind-words-to-the-canon.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
[ERROR] lens/decisions/CHANGE-007-bind-words-to-the-canon.md: 禁止同義語『漏れ』→ 承認語『逆孤児』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-008-name-where-the-findings-are.md: status『accepted』は型 CHANGE では許可されない(許可: archived, current, deprecated, open, proposed, superseded)。 (BAD_STATUS)
[ERROR] lens/decisions/CHANGE-008-name-where-the-findings-are.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
[ERROR] lens/decisions/CHANGE-009-upstream-answered-drop-the-patches.md: status『accepted』は型 CHANGE では許可されない(許可: archived, current, deprecated, open, proposed, superseded)。 (BAD_STATUS)
[ERROR] lens/decisions/CHANGE-009-upstream-answered-drop-the-patches.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
[ERROR] lens/decisions/IMPACT-005-honest-numbers-and-status.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/IMPACT-005-honest-numbers-and-status.md: 禁止同義語『波及先』→ 承認語『帰結』を使う。 (BANNED_SYNONYM)
[ERROR] lens/implementation/IMPL-001-extension-layout.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-001-doctrine-bridge.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-001-doctrine-bridge.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-002-depth-navigation.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-002-depth-navigation.md: 禁止同義語『ループ』→ 承認語『循環』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-002-depth-navigation.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-003-lens-grammar.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-003-lens-grammar.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-004-trace-bridge.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-004-trace-bridge.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-005-code-side-surface.md: 禁止同義語『原本』→ 承認語『正本』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-005-code-side-surface.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-005-code-side-surface.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-006-consequence-list.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-006-consequence-list.md: 禁止同義語『退役』→ 承認語『アーカイブ』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-006-consequence-list.md: 禁止同義語『波及先』→ 承認語『帰結』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-006-consequence-list.md: 禁止同義語『ループ』→ 承認語『循環』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-006-consequence-list.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-007-mutation-checker.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/spec/SPEC-008-mutation-isolation.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/test/TEST-001-bridge-acceptance.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/test/TEST-001-bridge-acceptance.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/test/TEST-004-trace-bridge-acceptance.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/test/TEST-007-mutation-checker-acceptance.md: TEST の必須節『退行観点』が無い。 (MISSING_SECTION)
[ERROR] lens/test/TEST-007-mutation-checker-acceptance.md: TEST の必須節『合否基準』が無い。 (MISSING_SECTION)
[ERROR] lens/test/TEST-008-mutation-isolation-acceptance.md: TEST の必須節『退行観点』が無い。 (MISSING_SECTION)
[ERROR] lens/test/TEST-008-mutation-isolation-acceptance.md: TEST の必須節『合否基準』が無い。 (MISSING_SECTION)
docs-linter --batch: 66 文書を点検し、36 文書に 85 件の ERROR。
